   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
          69 8.7003e-005 9.6963e-003 6.4104e-001 1.6784e+001 7.3065e+001 2.5495e+001 7.9487e+001 1.2065e+002 9.4626e+001 2.8457e+001 6.4333e+000 6.8725e+001 1.7880e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          70 1.0354e-002 2.2428e-001 4.3979e+001 9.5284e+002 3.7586e+003 1.0300e+003 4.6949e+003 5.7253e+003 5.6259e+003 1.2874e+003 5.1127e+002 3.3862e+003 1.2210e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          71 6.3267e-004 1.6545e-003 1.8743e+000 3.4341e+001 1.2253e+002 2.4961e+001 1.7576e+002 1.7045e+002 2.1242e+002 3.5739e+001 2.4230e+001 1.0465e+002 5.1999e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          72 3.8696e-004 5.6221e-004 7.5754e-001 1.0758e+001 3.1992e+001 3.0754e+000 5.8663e+001 3.6730e+001 7.2282e+001 6.2418e+000 1.1070e+001 2.4091e+001 2.1027e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          73 6.7453e-004 4.6870e-003 1.0205e+000 1.1820e+001 2.9376e+001 7.2352e-001 6.8153e+001 2.6697e+001 8.5861e+001 3.0456e+000 1.5906e+001 1.8692e+001 2.8190e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          74 1.8811e-003 2.3043e-002 2.3732e+000 2.3186e+001 4.8094e+001 7.5399e-003 1.4056e+002 3.2426e+001 1.8137e+002 1.4947e+000 3.8072e+001 2.4402e+001 6.4676e+001 7.3313e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          75 8.6510e-003 1.4339e-001 9.5182e+000 8.0420e+001 1.3885e+002 5.6403e+000 5.1008e+002 6.2711e+001 6.7453e+002 1.1906e-004 1.5330e+002 5.1787e+001 2.5351e+002 8.1396e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          76 5.4435e-002 1.0694e+000 5.4374e+001 4.1062e+002 6.0074e+002 9.0527e+001 2.7009e+003 1.6464e+002 3.6493e+003 1.9961e+001 8.6561e+002 1.5409e+002 1.4091e+003 2.2588e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          77 6.8550e-002 1.4812e+000 6.4292e+001 4.4920e+002 5.7709e+002 1.7207e+002 3.0319e+003 9.0969e+001 4.1633e+003 6.7934e+001 1.0069e+003 1.0012e+002 1.6254e+003 5.5237e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          78 2.6987e-002 6.4904e-001 2.3335e+001 1.4665e+002 1.5393e+002 1.0176e+002 1.0260e+003 5.0836e+000 1.4423e+003 5.9951e+001 3.5324e+002 1.0612e+001 5.6558e+002 4.2154e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          79 1.8010e-002 4.7682e-001 1.4295e+001 7.9759e+001 6.3840e+001 9.4496e+001 5.8154e+002 1.3597e+000 8.4073e+002 7.2143e+001 2.0474e+002 5.1816e-002 3.2636e+002 4.8204e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          80 1.8914e-002 5.4099e-001 1.3836e+001 6.8425e+001 3.8923e+001 1.2747e+002 5.2063e+002 1.5468e+001 7.7554e+002 1.1595e+002 1.8373e+002 3.8571e+000 2.9324e+002 7.5841e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          81 2.6120e-002 7.9498e-001 1.7685e+001 7.7432e+001 2.8155e+001 2.1401e+002 6.1549e+002 5.5804e+001 9.4600e+002 2.2173e+002 2.1316e+002 2.0772e+001 3.4296e+002 1.4260e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          82 4.1315e-002 1.3220e+000 2.5990e+001 1.0061e+002 1.9471e+001 3.9573e+002 8.3643e+002 1.5812e+002 1.3278e+003 4.5426e+002 2.7805e+002 6.6992e+001 4.5469e+002 2.8645e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          83 6.1029e-002 2.0336e+000 3.5794e+001 1.2228e+002 8.4703e+000 6.6408e+002 1.0646e+003 3.5073e+002 1.7472e+003 8.2898e+002 3.3185e+002 1.5693e+002 5.5712e+002 5.1025e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          84 6.7815e-002 2.3378e+000 3.7108e+001 1.1106e+002 4.4399e-001 8.2329e+002 1.0162e+003 5.3395e+002 1.7276e+003 1.1052e+003 2.8851e+002 2.4446e+002 5.0428e+002 6.6066e+002 2.1674e-009 0.0000e+000 0.0000e+000 0.0000e+000
          85 5.7444e-002 2.0413e+000 2.9200e+001 7.5103e+001 2.5180e+000 7.7161e+002 7.2827e+002 5.9243e+002 1.2891e+003 1.1088e+003 1.7977e+002 2.7269e+002 3.3524e+002 6.3919e+002 9.3334e-001 0.0000e+000 0.0000e+000 0.0000e+000
          86 4.5365e-002 1.6566e+000 2.1271e+001 4.5612e+001 1.1631e+001 6.7079e+002 4.7516e+002 5.9585e+002 8.8249e+002 1.0294e+003 9.4276e+001 2.7207e+002 1.9626e+002 5.6749e+002 6.0049e+000 0.0000e+000 0.0000e+000 0.0000e+000
          87 3.8213e-002 1.4292e+000 1.6402e+001 2.8145e+001 2.4978e+001 6.1865e+002 3.2121e+002 6.2414e+002 6.3227e+002 1.0112e+003 4.4597e+001 2.7950e+002 1.1331e+002 5.2861e+002 1.7161e+001 0.0000e+000 0.0000e+000 0.0000e+000
          88 3.5292e-002 1.3470e+000 1.3753e+001 1.7812e+001 4.3826e+001 6.2210e+002 2.2955e+002 7.0217e+002 4.8550e+002 1.0800e+003 1.6618e+001 3.0538e+002 6.3857e+001 5.3103e+002 3.7281e+001 0.0000e+000 0.0000e+000 0.0000e+000
          89 3.5019e-002 1.3591e+000 1.2272e+001 1.0946e+001 7.1061e+001 6.6873e+002 1.6778e+002 8.3449e+002 3.8911e+002 1.2299e+003 2.3458e+000 3.4938e+002 3.1669e+001 5.6432e+002 7.1091e+001 0.0000e+000 0.0000e+000 0.0000e+000
          90 3.5962e-002 1.4140e+000 1.1201e+001 5.8453e+000 1.0897e+002 7.4073e+002 1.1814e+002 1.0126e+003 3.1041e+002 1.4399e+003 1.4962e+000 4.0477e+002 1.0463e+001 6.1177e+002 1.2357e+002 0.0000e+000 0.0000e+000 0.0000e+000
          91 3.6534e-002 1.4502e+000 9.9651e+000 2.1237e+000 1.5595e+002 8.0892e+002 7.3384e+001 1.2032e+003 2.3172e+002 1.6590e+003 1.8228e+001 4.5544e+002 4.3112e-001 6.4748e+002 1.9507e+002 0.0000e+000 0.0000e+000 0.0000e+000
          92 3.5224e-002 1.4066e+000 8.2474e+000 1.7392e-001 2.0384e+002 8.3648e+002 3.5003e+001 1.3472e+003 1.5059e+002 1.8081e+003 5.5583e+001 4.7878e+002 4.2147e+000 6.4240e+002 2.7551e+002 0.0000e+000 0.0000e+000 0.0000e+000
