   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27
          43 1.0113e-013 4.9113e-012 4.7506e-011 2.3267e-011 1.1979e-011 2.5180e-010 1.2159e-010 6.9588e-010 8.8337e-010 1.8363e-009 2.0635e-009 7.2020e-010 7.6976e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          44 1.1652e-002 6.0865e-001 4.7781e+000 1.4328e+000 3.5927e+000 3.3104e+001 6.8885e+000 1.0909e+002 6.7488e+001 3.1553e+002 1.6340e+002 2.1180e+002 1.2661e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          45 1.9976e-011 1.0552e-009 8.0127e-009 2.1884e-009 6.8843e-009 5.7870e-008 1.0366e-008 1.9516e-007 1.0803e-007 5.7024e-007 2.6196e-007 4.0404e-007 2.2366e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          46 1.0556e-012 6.1535e-011 3.3898e-010 2.4059e-011 8.0384e-010 3.6255e-009 8.9267e-011 1.4600e-008 2.7331e-009 4.5528e-008 6.3722e-009 4.4581e-008 1.2526e-008 1.1117e-012 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          47 1.4205e-012 9.3259e-011 3.1585e-010 1.1730e-011 2.2044e-009 6.0136e-009 9.4044e-011 2.8789e-008 7.0072e-010 9.3722e-008 1.0581e-009 1.1113e-007 1.1608e-008 8.0566e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          48 3.6229e-012 2.7743e-010 3.6380e-010 7.7523e-010 1.1806e-008 2.0395e-008 4.1122e-009 1.1735e-007 1.4010e-009 3.9295e-007 8.8581e-009 5.1976e-007 5.4404e-009 2.5883e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          49 1.5703e-011 1.5151e-009 1.9722e-012 2.1287e-008 1.2673e-007 1.3834e-007 1.0177e-007 9.8558e-007 1.4380e-007 3.3568e-006 5.7501e-007 4.6629e-006 1.0097e-007 6.9279e-007 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          50 7.7191e-010 1.2105e-007 6.2027e-007 7.8143e-006 2.5776e-005 1.6900e-005 3.4902e-005 1.5828e-004 7.3614e-005 5.4294e-004 2.6985e-004 7.5109e-004 1.4932e-004 2.2516e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          51 5.3669e-002 9.6751e+000 7.9645e+001 8.1219e+002 2.4862e+003 1.4960e+003 3.5950e+003 1.4727e+004 7.8780e+003 5.0529e+004 2.8659e+004 6.9524e+004 1.7214e+004 2.2664e+004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          52 1.1050e-014 2.4137e-009 3.2206e-007 1.5492e-006 3.2556e-006 1.1260e-006 6.5437e-006 1.5679e-005 1.6865e-005 5.3616e-005 5.9388e-005 6.9655e-005 4.8693e-005 3.3456e-005 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          53 9.4039e-011 9.8982e-010 7.3192e-007 2.1747e-006 3.1011e-006 4.0909e-007 8.7407e-006 1.1417e-005 2.5529e-005 3.8433e-005 8.7379e-005 4.3027e-005 8.7024e-005 2.8322e-005 9.0510e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          54 9.6778e-010 3.5620e-008 3.3225e-006 7.1981e-006 7.1301e-006 9.8504e-008 2.7640e-005 1.9000e-005 8.8209e-005 6.1731e-005 2.9409e-004 5.0026e-005 3.2423e-004 3.9778e-005 6.1121e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          55 1.0918e-008 5.7012e-007 2.5950e-005 4.4257e-005 3.0286e-005 9.0994e-007 1.6288e-004 5.2098e-005 5.5673e-004 1.5700e-004 1.8045e-003 5.1616e-005 2.0816e-003 4.0848e-005 1.4909e-004 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          56 3.8195e-007 2.4346e-005 7.3261e-004 1.0234e-003 4.6696e-004 1.4224e-004 3.6202e-003 3.9199e-004 1.3103e-002 9.6927e-004 4.1102e-002 1.1167e-004 4.7606e-002 2.5454e-004 7.3759e-003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
